ml	CpG.number
chr11_112120895_112121468	0.13	7
chr11_112180719_112181837	0.24	17
chr11_112298710_112299661	0.05	9
chr11_112399995_112400534	0.15	3
chr11_112463116_112463723	0.4	3
chr11_112470199_112471284	0.05	6
chr11_112620583_112621862	0.24	21
chr11_113009259_113009742	0.23	7
chr11_113103342_113103984	0.1	9
chr11_113439200_113440143	0.03	22
chr11_113511045_113511901	0.38	17
chr11_113520322_113520922	0.15	10
chr11_113610972_113612581	0.06	34
chr11_113816401_113817177	0.02	9
chr11_113851704_113852350	0.51	15
chr11_113882926_113883812	0.2	3
chr11_113892770_113893445	0.19	8
chr11_113926932_113929025	0.07	34
chr11_114043513_114044185	0.28	14
chr11_114152264_114153743	0.36	28
chr11_114257535_114258754	0.59	18
chr11_114284687_114285731	0.28	26
chr11_114454661_114455372	0.58	15
chr11_114486333_114486998	0.38	9
chr11_114495324_114496005	0.44	14
chr11_114534251_114534729	0.45	8
chr11_114586768_114587579	0.2	17
chr11_114829407_114830262	0.5	21
chr11_114929165_114929976	0.2	10
chr11_115049212_115050007	0.53	5
chr11_115091363_115092192	0.02	37
chr11_115202241_115203037	0.53	23
chr11_115217422_115218383	0.41	11
chr11_115296431_115297803	0.64	19
chr11_115660352_115660899	0.13	5
chr11_115813489_115814956	0	21
chr11_116029874_116031354	0.02	46
chr11_116063267_116064054	0.58	7
chr11_116079175_116080071	0.1	12
chr11_116218489_116219256	0.11	6
chr11_116255453_116256671	0.16	21
chr11_116500614_116501454	0.14	10
chr11_116643196_116644835	0.39	34
chr11_117076464_117077003	0	34
chr11_117108496_117109208	0.26	11
chr11_117326217_117327421	0.09	12
chr11_117534570_117535696	0.09	13
chr11_117559638_117560477	0.59	2
chr11_117574711_117575279	0.16	3
chr11_117742030_117742995	0.28	18
chr11_117816045_117817138	0.28	12
chr11_117932035_117932868	0.13	3
chr11_118337339_118338138	0.11	9
chr11_118394671_118395217	0.43	5
chr11_118401603_118402394	0.52	7
chr11_118436485_118437003	0.82	3
chr11_118921670_118922642	0.23	22
chr11_118956849_118957709	0.27	18
chr11_119133711_119134425	0.9	5
chr11_119330504_119331027	0.46	4
chr11_119507522_119508440	0.25	13
chr11_119522230_119523299	0.69	10
chr11_119906799_119907814	0.16	13
chr11_120136767_120137843	0.03	23
chr11_120512795_120513499	0.55	7
chr11_120517945_120518634	0.05	7
chr11_120846749_120847175	0.14	5
chr11_120903095_120903833	0.63	24
chr11_121024035_121024635	0.16	10
chr11_121038367_121039518	0.32	14
chr11_121105220_121105594	0.16	4
chr11_121156319_121156967	0.11	33
chr11_121193445_121193904	0.11	4
chr11_121679619_121680136	0.35	3
chr12_3406575_3407389	0.21	10
chr12_3674778_3675508	0.02	8
chr12_3761268_3762282	0.27	8
chr12_3959687_3960538	0.03	46
chr12_4008639_4009191	0.76	17
chr12_4117282_4118241	0.02	12
chr12_4157562_4158072	0.59	5
chr12_4201431_4202377	0.17	13
chr12_4679858_4680801	0.08	10
chr12_5037880_5038583	0.17	3
chr12_5087981_5088393	0.34	6
chr12_5386705_5387651	0.1	2
chr12_6211202_6211764	0.02	1
chr12_6527805_6528238	0.83	2
chr12_6579918_6580586	0.09	2
chr12_6637786_6639791	0.04	15
chr12_6815733_6816678	0.07	4
chr12_7094411_7095133	0.07	5
chr12_7421766_7422387	0.04	2
chr12_8357142_8358364	0.12	15
chr12_8388447_8389087	0.36	4
chr12_8510874_8511604	0.52	17
chr12_8673648_8675159	0	46
chr12_9029860_9030632	0	49
chr12_9857882_9858551	0.01	2
chr12_10390541_10391699	0.02	47
chr12_10572249_10572791	0.09	9
chr12_11603798_11604451	0.09	4
chr12_11673174_11674144	0.24	5
chr12_12231647_12232703	0.3	12
chr12_12440575_12441101	0.05	5
chr12_12490018_12490424	0.13	2
chr12_12967662_12968506	0.31	4
chr12_13094058_13094944	0.16	10
chr12_13144638_13145385	0.21	7
chr12_13167061_13167637	0.09	5
chr12_13418500_13419289	0.08	6
chr12_13585670_13586594	0.55	7
chr12_13939127_13940226	0.14	8
chr12_14068921_14069524	0.25	5
chr12_14082630_14083363	0.06	4
chr12_15459171_15459765	0.14	1
chr12_15688165_15688844	0.17	6
chr12_15704310_15704907	0.13	8
chr12_15832002_15833188	0.28	12
chr12_16006472_16007115	0.49	7
chr12_16145488_16146368	0.11	9
chr12_16150987_16151937	0.16	12
chr12_16260599_16261573	0.38	12
chr12_16605533_16606294	0.22	6
chr12_16860743_16861457	0.05	1
chr12_17132204_17132944	0.12	13
chr12_17140394_17141568	0.33	8
chr12_17183979_17184847	0.23	11
chr12_17652966_17653707	0.94	3
chr12_17663983_17664757	0.93	10
chr12_17746691_17747209	0.89	5
chr12_21153171_21154017	0.22	15
chr12_21165526_21166397	0.19	10
chr12_21330948_21331991	0.05	14
chr12_21472403_21472887	0.27	4
chr12_24642306_24642937	0.68	6
chr12_24734636_24735496	0.36	16
chr12_24872399_24873338	0.09	19
chr12_24893826_24894403	0.58	3
chr12_25188864_25189994	0.16	20
chr12_25344106_25345059	0.12	25
chr12_25579113_25580113	0.2	18
chr12_25615134_25615740	0.19	4
chr12_25654172_25655130	0.16	7
chr12_25756918_25757433	0.09	6
chr12_26012851_26013583	0.19	7
chr12_26086384_26087483	0.03	14
chr12_26112424_26113062	0.4	4
chr12_26163336_26164322	0.12	3
chr12_26180763_26181628	0.27	8
chr12_26205900_26206471	0.94	9
chr12_26546182_26547914	0.36	15
chr12_26577226_26577928	0.02	10
chr12_26781393_26782063	0.07	3
chr12_26885857_26886376	0.06	6
chr12_27977964_27979051	0.05	12
chr12_28055499_28056132	0.65	4
chr12_28248253_28249112	0.08	5
chr12_28535738_28536399	0.07	8
chr12_28587850_28588773	0.07	10
chr12_28612427_28613416	0.31	12
chr12_28793545_28794199	0.15	4
chr12_28896449_28897081	0.43	5
chr12_29049030_29049531	0.76	10
chr12_29176925_29177722	0.55	14
chr12_29232388_29233523	0.37	19
chr12_29257921_29258808	0.29	13
chr12_29279311_29280822	0.25	21
chr12_29391515_29392499	0.17	6
chr12_29755449_29756214	0.08	5
chr12_30168014_30169165	0.09	7
chr12_30200797_30201638	0.28	10
chr12_30434803_30435469	0.11	8
chr12_31170625_31171238	0.07	12
chr12_31350973_31351702	0	35
chr12_31848927_31849514	0.2	4
chr12_31885619_31886696	0.17	12
chr12_31917260_31917863	0.86	8
chr12_31926617_31927167	0.33	9
chr12_32757331_32758425	0.33	6
chr12_32919484_32920046	0.12	6
chr12_33130402_33131018	0.04	10
chr12_33652370_33653342	0.4	4
chr12_34075679_34076631	0.25	9
chr12_34906855_34907749	0	26
chr12_36092832_36093601	0	13
chr12_36302279_36303305	0.28	21
chr12_37769768_37770369	0.03	2
chr12_38356224_38356830	0.18	2
chr12_38789777_38790280	0.02	10
chr12_38832703_38833811	0.92	23
chr12_40085634_40086484	0.37	5
chr12_40231488_40232220	0.37	4
chr12_41620971_41622016	0.04	8
chr12_41949664_41950355	0.24	6
chr12_42070337_42070701	0.91	4
chr12_43326894_43327373	0	1
chr12_43641139_43642069	0	1
chr12_43827113_43828521	0.24	11
chr12_44138756_44139354	0.12	2
chr12_44145089_44145782	0.51	4
chr12_44380595_44381362	0.01	6
chr12_44616750_44617636	0.59	6
chr12_44993167_44993929	0.23	7
chr12_45012879_45013736	0.06	10
chr12_46040052_46041132	0.17	3
chr12_46333358_46333888	0.09	1
chr12_49764320_49765033	0.12	2
chr12_50073373_50074153	0.09	3
chr12_50111858_50112517	0.01	14
chr12_50120173_50121296	0.01	25
chr12_50451762_50452210	0.02	3
chr12_50597987_50598980	0.14	10
chr12_50764484_50765980	0.16	12
chr12_50804082_50804819	0.38	5
chr12_50932509_50932960	0.2	5
chr12_51058456_51059410	0.1	16
chr12_51107905_51108607	0.07	7
chr12_51117637_51119002	0.04	23
chr12_51241117_51241769	0	7
chr12_51294540_51295640	0.1	9
chr12_51494121_51494890	0.22	29
chr12_51828779_51829907	0	26
chr12_52370003_52370793	0.09	17
chr12_52385257_52386324	0.28	21
chr12_52503126_52504603	0	29
chr12_52628636_52629317	0.09	7
chr12_52719187_52719982	0.23	18
chr12_52818367_52819056	0.19	12
chr12_53040401_53041098	0.02	8
chr12_53842018_53842952	0.02	21
chr12_54251923_54253011	0.3	17
chr12_54822649_54823385	0	7
chr12_56415104_56415655	0.55	6
chr12_58513715_58514471	0.34	4
chr12_59072247_59072817	0.36	15
chr12_59130690_59131838	0	70
chr12_59228151_59228860	0.04	10
chr12_59250097_59250522	0.05	2
chr12_59414395_59415705	0.07	21
chr12_59521808_59522561	0.26	4
chr12_59620105_59620801	0.06	3
chr12_59722682_59723311	0.17	6
chr12_59822708_59823441	0.07	6
chr12_65073395_65074317	0	52
chr12_66036131_66036726	0.38	2
chr12_69158490_69159732	0	48
chr12_69856336_69856882	0.18	11
chr12_70624255_70625379	0.14	16
chr12_70648111_70649505	0.17	12
chr12_70799091_70799862	0.16	20
chr12_70852938_70853551	0.09	8
chr12_71494670_71495549	0.42	16
chr12_71546750_71547259	0.34	5
chr12_71636265_71636728	0.57	7
chr12_71693542_71694179	0.01	8
chr12_72213385_72214434	0.18	17
chr12_72263230_72264076	0.03	11
chr12_72353540_72354912	0.05	8
chr12_73506934_73507952	0.03	26
chr12_73531809_73532438	0.37	9
chr12_73558131_73559244	0.12	25
chr12_74009171_74010089	0.17	19
chr12_74389673_74390244	0.14	9
chr12_74443608_74444180	0.68	4
chr12_74744884_74745526	0.05	1
chr12_74791890_74792724	0	3
chr12_74874110_74874624	0.24	4
chr12_74951978_74952418	0.08	3
chr12_75182676_75183343	0.1	10
chr12_75374060_75374986	0.32	24
chr12_75710928_75711465	0.28	5
chr12_76463413_76463975	0.67	6
chr12_76464592_76465360	0.05	11
chr12_76493314_76494045	0.2	6
chr12_76545740_76546385	0.19	15
chr12_76634728_76635652	0.68	14
chr12_77025285_77025910	0.06	11
chr12_77098634_77099350	0.04	5
chr12_77130508_77130906	0.15	5
chr12_77223659_77224761	0.2	12
chr12_77527943_77529293	0.54	17
chr12_77603865_77604586	0.05	13
chr12_77781116_77781779	0.25	15
chr12_78001647_78002336	0.05	12
chr12_78098512_78099278	0.03	16
chr12_78205807_78206480	0.21	8
chr12_78951938_78953025	0.22	14
chr12_79006067_79007655	0.06	24
chr12_79511317_79512331	0.34	14
chr12_79715644_79716458	0.24	8
chr12_79725798_79726480	0.02	2
chr12_80168150_80168553	0.11	20
chr12_80300651_80301393	0.31	8
chr12_80414942_80415474	0.12	3
chr12_81105776_81106631	0.91	9
chr12_81185997_81186768	0.33	10
chr12_81331807_81333555	0.01	45
chr12_81894249_81894690	0.2	6
chr12_81948965_81949675	0.27	11
chr12_82069516_82070098	0.17	5
chr12_82128066_82128604	0.9	6
chr12_82265814_82266369	0.03	4
chr12_82312013_82312733	0.3	14
chr12_82339211_82340118	0	23
chr12_82664433_82665098	0.02	9
chr12_82731068_82732072	0.19	15
chr12_82970633_82971656	0.11	6
chr12_83277290_83278370	0.43	12
chr12_83301861_83303291	0.24	34
chr12_83337119_83337735	0.33	11
chr12_83631660_83632509	0	43
chr12_83716427_83717140	0.11	15
chr12_83850396_83850837	0.04	6
chr12_83874410_83875232	0.06	5
chr12_83933273_83934158	0.01	5
chr12_83998232_83998990	0.09	13
chr12_84284948_84285637	0.02	36
chr12_84614388_84615089	0.41	11
chr12_84667924_84669014	0.43	20
chr12_84755913_84756526	0.11	14
chr12_85270238_85271034	0.03	35
chr12_85467647_85468448	0.03	21
chr12_85736401_85737461	0.5	6
chr12_85862544_85863005	0.5	4
chr12_85869437_85869999	0.6	8
chr12_85956184_85956973	0.06	12
chr12_85979558_85980498	0.38	10
chr12_85986768_85987628	0.65	14
chr12_86016786_86017779	0.3	11
chr12_86189682_86190329	0.05	19
chr12_86433054_86433807	0.25	13
chr12_86659419_86660159	0.03	8
chr12_88707476_88708543	0.21	10
chr12_88713334_88713974	0.09	4
chr12_88738504_88739128	0.19	7
chr12_89093662_89094356	0.05	7
chr12_89148769_89149570	0.53	7
chr12_89358723_89359363	0.4	2
chr12_89376022_89377733	0.01	12
chr12_89653079_89653637	0	2
chr12_89710360_89711038	0.04	6
chr12_89811693_89812930	0.01	41
chr12_90425193_90426082	0.43	9
chr12_90564994_90565576	0.75	5
chr12_90607691_90608302	0.74	10
chr12_90738577_90739062	0.02	8
chr12_90932112_90932910	0.09	12
chr12_91050430_91051177	0.51	12
chr12_91870476_91871528	0.34	23
chr12_92072923_92074082	0.04	19
chr12_92737300_92738443	0.52	16
chr12_94645021_94646129	0.15	3
chr12_95305300_95305964	0.1	4
chr12_95315182_95316059	0.01	2
chr12_95538275_95538824	0.26	2
chr12_97501248_97501897	0.03	3
chr12_97732213_97732748	0.14	4
chr12_97749988_97750657	0.21	3
chr12_98187003_98187886	0.05	9
chr12_98544691_98545705	0.09	16
chr12_99015649_99016514	0.2	5
chr12_99392061_99392623	0	39
chr12_99518986_99519619	0.58	17
chr12_100167994_100168760	0.06	16
chr12_100352525_100354175	0.08	23
chr12_100724234_100725640	0	31
chr12_100770722_100771563	0.21	7
chr12_100778648_100779869	0.72	15
chr12_100867949_100868724	0.13	4
chr12_101007921_101008549	0.1	9
chr12_101810432_101810933	0.79	3
chr12_102021779_102022237	0.09	2
chr12_102064800_102065667	0.11	5
chr12_102073492_102074141	0.25	4
chr12_102190642_102191403	0.04	13
chr12_102539811_102540650	0.29	16
chr12_102652940_102653545	0.07	7
chr12_102695687_102696527	0.01	17
chr12_102885485_102886403	0.38	12
chr12_103376002_103377473	0.13	12
chr12_103407825_103408592	0.06	15
chr12_103992622_103993445	0.4	14
chr12_104131945_104132441	0.89	2
chr12_104185909_104186644	0.31	4
chr12_104245277_104246152	0.08	3
chr12_104297638_104298493	0.31	3
chr12_105155349_105155933	0.13	5
chr12_105336226_105337197	0	23
chr12_105346831_105347735	0.8	22
chr12_105449004_105449673	0.15	7
chr12_105543472_105544255	0.16	10
chr12_105982334_105983376	0.03	15
chr12_106008295_106009294	0.13	25
chr12_106019948_106020565	0.19	7
chr12_106039843_106040621	0.33	13
chr12_106115625_106116315	0.44	7
chr12_106157816_106159060	0.4	21
chr12_106821970_106822415	0.08	1
chr12_106860841_106862124	0.42	17
chr12_106939090_106940121	0.16	22
chr12_107142004_107142818	0.11	10
chr12_107844632_107845332	0.36	8
chr12_108049466_108050121	0.66	19
chr12_108363813_108364295	0.05	3
chr12_108498957_108499507	0.08	2
chr12_108967692_108968530	0.07	10
chr12_109022233_109022906	0.9	14
chr12_109057208_109057791	0.15	8
chr12_109491626_109492459	0.31	11
chr12_109595736_109596226	0.34	6
chr12_109925853_109926418	0.22	7
chr12_110252084_110252673	0.21	11
chr12_110431654_110432370	0.7	9
chr12_111352163_111352812	0.27	11
chr12_111436182_111437110	0.15	14
chr12_111441525_111442067	0.27	4
chr12_111527487_111528405	0.02	8
chr12_111537552_111538584	0.01	28
chr12_111759036_111760034	0	9
chr12_111888194_111888854	0.39	5
chr12_111966536_111967305	0	19
chr12_112033298_112033956	0.31	13
chr12_112095866_112096733	0.14	14
chr12_112339686_112340887	0.26	19
chr12_112376024_112377102	0.6	17
chr12_112575997_112577175	0.25	7
chr12_112683393_112684084	0.24	7
chr12_112797348_112798197	0.37	9
chr12_112894269_112894915	0.5	4
chr12_113291970_113292949	0.55	2
chr12_116233816_116234561	0.26	7
chr12_116812834_116813534	0.1	7
chr12_117001378_117002229	0	3
chr12_117127069_117127948	0.18	9
chr12_117298614_117298909	0.25	1
chr12_117357734_117358285	0	1
chr12_117439051_117439942	0.06	14
chr12_117466038_117466492	0.3	8
chr12_117500919_117501675	0.12	6
chr12_117661699_117662456	0.13	8
chr12_118104128_118104983	0.61	7
chr12_118373204_118374216	0.23	7
chr13_3477955_3478646	0.02	32
chr13_3765525_3766191	0.11	6
chr13_3776199_3776981	0.12	8
chr13_3863016_3863714	0.29	11
chr13_4666381_4667007	0.01	9
chr13_5248418_5249311	0.13	3
chr13_5302034_5302678	0.28	2
chr13_5714157_5714793	0.06	17
chr13_6178055_6179420	0.04	10
chr13_6260168_6260882	0.02	3
chr13_6340856_6341631	0.02	7
chr13_6469414_6470387	0.24	14
chr13_6483587_6484800	0.44	9
chr13_6492761_6493757	0.27	9
chr13_6618501_6619271	0.55	12
chr13_6658973_6660011	0.3	13
chr13_8560320_8561111	0.66	4
chr13_9377033_9377514	0.12	3
chr13_10157517_10158597	0.19	7
chr13_11294529_11295303	0.09	1
chr13_11432235_11433364	0.26	8
chr13_12013600_12014610	0.22	9
chr13_12442109_12442747	0.4	3
chr13_12520043_12520492	0	27
chr13_13953908_13955199	0	74
chr13_13968454_13969042	0.14	3
chr13_14062898_14064202	0	43
chr13_14612801_14613664	0	44
chr13_15545294_15545903	0.06	4
chr13_16355243_16356071	0.13	4
chr13_16543205_16544341	0.07	8
chr13_16574046_16574782	0.12	5
chr13_17858961_17859891	0.08	15
chr13_17891492_17892090	0.06	7
chr13_18892728_18893481	0.27	12
chr13_19101627_19102745	0.04	23
chr13_20090140_20091732	0.01	59
chr13_20466598_20467864	0.41	5
chr13_20558285_20558816	0.6	3
chr13_21417486_21417895	0.12	4
chr13_21467855_21468942	0.01	54
chr13_21709903_21710424	0.01	22
chr13_23710352_23711095	0.09	12
chr13_23849197_23849857	0.17	5
chr13_24199738_24200709	0.18	15
chr13_24453541_24454254	0.22	6
chr13_24576177_24577185	0.11	16
chr13_24792295_24793172	0.45	10
chr13_24831264_24832329	0	50
chr13_24936859_24938193	0.04	54
chr13_25694951_25695571	0.16	13
chr13_26713743_26714567	0.24	9
chr13_26951286_26951933	0.64	3
chr13_28692360_28692969	0.06	7
chr13_28757622_28758656	0.02	13
chr13_28942081_28942660	0.08	4
chr13_29234193_29234973	0.05	14
chr13_29389859_29390642	0.24	10
chr13_29497120_29497601	0.16	8
chr13_29906789_29908129	0.09	29
chr13_29919583_29920583	0.57	23
chr13_29943487_29944094	0.13	4
chr13_30186110_30186930	0.22	14
chr13_30544737_30545709	0.01	58
chr13_30666290_30667071	0.1	17
chr13_30785948_30787182	0.12	6
chr13_31249345_31250167	0.22	9
chr13_31878414_31879378	0.37	10
chr13_31885561_31886285	0.3	3
chr13_31926451_31927108	0.22	7
chr13_32903377_32903696	0	3
chr13_33067980_33068653	0.21	4
chr13_33942109_33942677	0.08	4
chr13_34050285_34050948	0.25	15
chr13_34129701_34130833	0.01	53
chr13_34148683_34149402	0.01	22
chr13_34195635_34196314	0.32	4
chr13_34295682_34296484	0.04	12
chr13_34313036_34314023	0.2	7
chr13_34527180_34527786	0.41	8
chr13_34675823_34676531	0.04	7
chr13_34715110_34715916	0.3	12
chr13_34859201_34859832	0	5
chr13_35131019_35132454	0.13	12
chr13_35947350_35948073	0.14	15
chr13_36505616_36506726	0.06	11
chr13_37135161_37135608	0.07	2
chr13_37181004_37181777	0.16	9
chr13_37196984_37197730	0.09	3
chr13_37225676_37226445	0	1
chr13_37249593_37250549	0.28	13
chr13_37342572_37343313	0.4	1
chr13_37355738_37356399	0.17	10
chr13_37415511_37416385	0.61	6
chr13_37424897_37425713	0.34	9
chr13_37467775_37468877	0.29	21
chr13_37908034_37909023	0.28	16
chr13_37963601_37965028	0.06	22
chr13_38753409_38754228	0.12	6
chr13_39011570_39012121	0.37	12
chr13_39823253_39824456	0.21	35
chr13_39904187_39904801	0.29	11
chr13_40928155_40928929	0.14	12
chr13_41267607_41268411	0.01	7
chr13_41408336_41409046	0.35	11
chr13_41422129_41423259	0.12	16
chr13_41748743_41749666	0.16	21
chr13_41767798_41768490	0.51	9
chr13_41902836_41903784	0.3	7
chr13_42358622_42359042	0.24	10
chr13_42403069_42404157	0.35	5
chr13_42593151_42594251	0.13	17
chr13_42649733_42650711	0.26	9
chr13_42671590_42672469	0.01	16
chr13_43365195_43366102	0.15	27
chr13_43530068_43530886	0.03	14
chr13_43698420_43699049	0.56	9
chr13_43714495_43715228	0.18	7
chr13_43734458_43735095	0.14	19
chr13_43806315_43807023	0.47	11
chr13_43845104_43846002	0.23	17
chr13_43895952_43896454	0.02	13
chr13_44043271_44044081	0.32	9
chr13_44072951_44073708	0.03	13
chr13_44073822_44074726	0.09	16
chr13_44133488_44133853	0.48	7
chr13_44231786_44233053	0.08	25
chr13_44282267_44283580	0.02	26
chr13_44557806_44558539	0.37	16
chr13_44907532_44908390	0.14	11
chr13_45049151_45050176	0.03	9
chr13_45325624_45326230	0.41	11
chr13_45400596_45401298	0.03	7
chr13_45836332_45837121	0.19	11
chr13_45952904_45953553	0.34	8
chr13_46096208_46096969	0	11
chr13_46129310_46129881	0.07	9
chr13_46153181_46154024	0.45	13
chr13_46346383_46347278	0.13	7
chr13_46363223_46364401	0.01	14
chr13_46517000_46517848	0.01	5
chr13_46550370_46551112	0.06	15
chr13_46835110_46835858	0.11	17
chr13_47056044_47056671	0.01	13
chr13_47309398_47310026	0.37	11
chr13_47413038_47413816	0.07	8
chr13_47647619_47648293	0.04	7
chr13_48694324_48695404	0.13	28
chr13_49001602_49002195	0.71	3
chr13_49069292_49070470	0.28	12
chr13_49093280_49094126	0.18	6
chr13_49223923_49224972	0.28	18
chr13_49252713_49253295	0.12	14
chr13_51161981_51162648	0.14	7
chr13_51328155_51328706	0.16	10
chr13_51499427_51500214	0.09	2
chr13_51959955_51960768	0.42	9
chr13_51969918_51970565	0.43	14
chr13_52099978_52100793	0.03	12
chr13_52124964_52125581	0.5	6
chr13_52214817_52215131	0.24	4
chr13_52273652_52274394	0.03	16
chr13_52306952_52307587	0.24	6
chr13_52345280_52346692	0.05	25
chr13_52378144_52378765	0.14	2
chr13_52410760_52411589	0.46	14
chr13_52428576_52429187	0.16	9
chr13_52436598_52437180	0.01	10
chr13_52529669_52531166	0.01	40
chr13_52539277_52539877	0.4	8
chr13_52554553_52555327	0.42	15
chr13_52570082_52571070	0.18	21
chr13_53230313_53230751	0.31	15
chr13_53539719_53540167	0.33	5
chr13_53584420_53585084	0.34	10
chr13_53945651_53946316	0.06	9
chr13_53955886_53956913	0.08	23
chr13_53990589_53991241	0.5	12
chr13_54218172_54218918	0.33	4
chr13_54277375_54277882	0.08	5
chr13_54292306_54292853	0.09	6
chr13_54359028_54359641	0.41	9
chr13_54389911_54390514	0.38	7
chr13_54556343_54557161	0.68	8
chr13_54780520_54781695	0.2	6
chr13_54811371_54812142	0.04	9
chr13_54823756_54824929	0.22	17
chr13_55000203_55001054	0.14	15
chr13_55006081_55006877	0.23	12
chr13_55369349_55370143	0.15	5
chr13_55381308_55382217	0.28	6
chr13_55404104_55404933	0.03	12
chr13_55606590_55607750	0.35	13
chr13_55727804_55728240	0.01	20
chr13_56057535_56058549	0.06	13
chr13_56135257_56136007	0.02	6
chr13_56265574_56266453	0.12	15
chr13_56350819_56351582	0.25	14
chr13_56593953_56594459	0.12	7
chr13_56868405_56869111	0.59	8
chr13_57255774_57256445	0.05	11
chr13_57372171_57372909	0.39	16
chr13_57773265_57773997	0.79	14
chr13_57806278_57806870	0.65	9
chr13_57937412_57938617	0.05	7
chr13_58073139_58073961	0.07	14
chr13_58202751_58203545	0.05	6
chr13_58344167_58344919	0.27	20
chr13_58558162_58558751	0.02	16
chr13_58588613_58589938	0.01	27
chr13_59180617_59181521	0.12	18
chr13_59572403_59572984	0.01	3
chr13_59800959_59801551	0.16	2
chr13_59934361_59934940	0.62	3
chr13_60047606_60048274	0.1	4
chr13_60312612_60313092	0.05	5
chr13_60339892_60340527	0.06	2
chr13_60522628_60523586	0	10
chr13_63015917_63016552	0.22	5
chr13_63188263_63189157	0.22	8
chr13_64022532_64023259	0.03	8
chr13_64211848_64212789	0.14	7
chr13_64259874_64260591	0.35	9
chr13_64903709_64904180	0.04	15
chr13_67127993_67128664	0.02	18
chr13_67399250_67400065	0.03	14
chr13_68749593_68750287	0.19	12
chr13_68815626_68816791	0.1	8
chr13_68867817_68869226	0.15	7
chr13_68889865_68890590	0.01	9
chr13_68906552_68907217	0.02	2
chr13_68913687_68914463	0.19	13
chr13_68961208_68962137	0.04	8
chr13_69006195_69006631	0.14	4
chr13_69294664_69295303	0.21	2
chr13_69330134_69331161	0.32	14
chr13_69357294_69357980	0.29	9
chr13_69541631_69542279	0	10
chr13_69561948_69562473	0.09	10
chr13_69777877_69778883	0.09	27
chr13_69845531_69846160	0.61	5
chr13_69867578_69868109	0.03	8
chr13_70127194_70127871	0.04	6
chr13_70192575_70193267	0.01	6
chr13_70590069_70590848	0.42	9
chr13_70698959_70699490	0	4
chr13_70876762_70877324	0.46	5
chr13_71461339_71462096	0.12	7
chr13_71853370_71854039	0.33	12
chr13_72400573_72401362	0.07	15
chr13_73328031_73328862	0	44
chr13_73490415_73491413	0.15	8
chr13_73872118_73872606	0.08	2
chr13_73959718_73960713	0.06	11
chr13_74169589_74170246	0.04	9
chr13_74390381_74390873	0	14
chr13_75113725_75114498	0	3
chr13_76258793_76259523	0.01	3
chr13_76264581_76265158	0.42	4
chr13_77708487_77709071	0	34
chr13_78658165_78658750	0.03	9
chr13_78900616_78901051	0.35	1
chr13_79785081_79785673	0.06	1
chr13_80709590_80710298	0.04	9
chr13_80862366_80862659	0.09	5
chr13_81632799_81633426	0.06	29
chr13_81824616_81825348	0.01	10
chr13_81855902_81856624	0.07	8
chr13_81861929_81862689	0.09	6
chr13_82308276_82308899	0.07	8
chr13_82316683_82317562	0.03	7
chr13_82483413_82484134	0.13	5
chr13_82562477_82563102	0.07	5
chr13_82593726_82594358	0.02	9
chr13_82892617_82893313	0.36	3
chr13_82942852_82943680	0.04	10
chr13_83376074_83376796	0.06	8
chr13_84368140_84368979	0.02	6
chr13_84375705_84376323	0.21	6
chr13_90992869_90994020	0.34	20
chr13_91274187_91275024	0.1	9
chr13_91365066_91365788	0.54	4
chr13_91370631_91371688	0.01	26
chr13_91403214_91404096	0.41	6
chr13_91446865_91447364	0.15	3
chr13_92053337_92054246	0.17	17
chr13_92246925_92247897	0.04	10
chr13_92398640_92398922	0.77	4
chr13_92639022_92639747	0.01	8
chr13_92685004_92685775	0.39	6
chr13_92760391_92761058	0.09	9
chr13_92784028_92784773	0.61	5
chr13_92810600_92811076	0.13	2
chr13_92973532_92974382	0.07	10
chr13_93211632_93212388	0.02	5
chr13_93267040_93267978	0.35	7
chr13_93510722_93511268	0.08	14
chr13_93930778_93931432	0.11	4
chr13_93941112_93941654	0.14	5
chr13_94385005_94385615	0.53	5
chr13_95126734_95127613	0.3	19
chr13_95160139_95160814	0.17	7
chr13_95393273_95393834	0.26	7
chr13_95788330_95789071	0.22	8
chr13_95819856_95820660	0.16	14
chr13_95849361_95850179	0.2	12
chr13_96680081_96681155	0.02	10
chr13_96878240_96879167	0.05	14
chr13_96894565_96895552	0.13	9
chr13_96961397_96962009	0	6
chr13_97190359_97190784	0.89	9
chr13_97451175_97451805	0.34	17
chr13_97458975_97459791	0.31	13
chr13_97559426_97560413	0.06	18
chr13_97651322_97652922	0.49	26
chr13_97705844_97706421	0.02	6
chr13_97756983_97757929	0.22	8
chr13_97805784_97806312	0.53	12
chr13_97845057_97845761	0.38	9
chr13_97869544_97870278	0.39	7
chr13_98008326_98009365	0.12	18
chr13_98182296_98182826	0.32	13
chr13_98586543_98587397	0.02	16
chr13_98925931_98926991	0.01	42
chr13_99202198_99202597	0.38	5
chr13_99238080_99238822	0.08	8
chr13_99264254_99264953	0.14	7
chr13_99739270_99740002	0.12	2
chr13_99761534_99762403	0	12
chr13_99829619_99830567	0.01	6
chr13_100103534_100104086	0	20
chr13_100594048_100594479	0.52	10
chr13_100954537_100955731	0.18	15
chr13_101024923_101025989	0.29	5
chr13_101553048_101553632	0.28	11
chr13_101597336_101597899	0.23	6
chr13_101914653_101915249	0.07	5
chr13_101935677_101936276	0.15	5
chr13_102323725_102324297	0.06	4
